Trascrittore,Tipo,Pauses,Prolongations,Intonation Patterns,Interruptions,Pace,Overlaps,Guesses,Unknown,Metalinguistic Total
A,From-Scratch,16,54,7,12,3,100,10,0,618
A,Whisper-Assisted,34,18,6,13,4,108,2,1,792
E,From-Scratch,1,150,6,13,0,104,5,8,1442
E,Whisper-Assisted,4,90,44,15,0,113,13,11,1383
I,From-Scratch,42,47,54,17,4,113,26,5,930
I,Whisper-Assisted,28,63,36,4,7,57,15,7,729
L,From-Scratch,8,20,26,7,1,57,2,0,522
L,Whisper-Assisted,12,52,57,2,3,56,0,0,788
M,From-Scratch,6,71,8,4,9,50,5,3,602
M,Whisper-Assisted,7,76,17,9,6,58,9,8,866
N,From-Scratch,8,44,21,3,17,24,4,3,516
N,Whisper-Assisted,15,26,6,19,5,79,2,2,724
O,From-Scratch,3,27,23,9,1,40,32,6,880
O,Whisper-Assisted,6,44,7,15,1,80,3,0,1204
R,From-Scratch,0,6,9,9,2,31,3,2,558
R,Whisper-Assisted,1,15,5,9,3,50,0,1,594
S,From-Scratch,6,32,9,11,3,48,3,0,524
S,Whisper-Assisted,6,49,8,7,0,17,0,0,1332
U,From-Scratch,0,32,7,6,2,42,7,8,383
U,Whisper-Assisted,0,14,6,5,0,44,10,11,799
V,From-Scratch,18,19,13,13,7,44,7,10,634
V,Whisper-Assisted,25,14,10,18,1,51,3,2,789
